*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
0;2.3206404170461114E7;38;16
1;2.3206404170461114E7;38;16
2;2.3206404170461114E7;38;16
3;2.3206404170461114E7;38;16
4;2.3206404170461114E7;38;16
5;2.3206404170461114E7;38;16
6;2.3206404170461114E7;38;16
7;2.3206404170461114E7;38;16
8;2.3206404170461114E7;38;16
9;2.3206404170461114E7;38;16
10;2.3206404170461114E7;38;16
11;2.3206404170461114E7;38;16
12;2.3206404170461114E7;38;16
13;2.3206404170461114E7;38;16
14;2.3206404170461114E7;38;16
15;2.3206404170461114E7;38;16
16;2.3206404170461114E7;38;16
17;2.3206404170461114E7;38;16
18;2.3206404170461114E7;38;16
19;2.3206404170461114E7;38;16
20;2.3206404170461114E7;38;16
21;2.3206404170461114E7;38;16
22;2.3206404170461114E7;38;16
23;2.3206404170461114E7;38;16
24;2.3206404170461114E7;38;16
25;2.3206404170461114E7;38;16
26;2.3206404170461114E7;38;16
27;2.3206404170461114E7;38;16
28;2.3206404170461114E7;38;16
29;2.3206404170461114E7;38;16
30;2.3206404170461114E7;38;16
31;2.3206404170461114E7;38;16
32;2.3206404170461114E7;38;16
33;2.3206404170461114E7;38;16
34;2.3206404170461114E7;38;16
35;2.3206404170461114E7;38;16
36;2.3206404170461114E7;38;16
37;2.3206404170461114E7;38;16
38;2.3206404170461114E7;38;16
39;2.3206404170461114E7;38;16
40;2.3206404170461114E7;38;16
41;2.3206404170461114E7;38;16
42;2.3206404170461114E7;38;16
43;2.3206404170461114E7;38;16
44;2.3206404170461114E7;38;16
45;2.3206404170461114E7;38;16
46;2.3206404170461114E7;38;16
47;2.3206404170461114E7;38;16
48;2.3206404170461114E7;38;16
49;2.3206404170461114E7;38;16
