Kosten nach Verbesserung: 3.111275572297222E7
Variable Kosten: 12755.722972222138
Anzahl Umlaeufe: 74
Ersparnis: 2.1499600264427774E7
Anzahl Ladestationen: 6
Gesamtverbrauch in kWh: 20324.520499999846
Zeitdauer: 536.3613888888889
Anzahl Servicefahrten: 867

*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
440;3.686292201146111E7;79;21
441;3.661301047546111E7;79;20
442;3.661301047546111E7;79;20
443;3.6613005389072224E7;79;20
444;3.661299348407222E7;79;20
445;3.661299348407222E7;79;20
446;3.661299348407222E7;79;20
447;3.661299348407222E7;79;20
448;3.661299348407222E7;79;20
449;3.661299348407222E7;79;20
450;3.661299348407222E7;79;20
451;3.661299348407222E7;79;20
452;3.661299348407222E7;79;20
453;3.661299348407222E7;79;20
454;3.661299348407222E7;79;20
455;3.661299348407222E7;79;20
456;3.661299348407222E7;79;20
457;3.661299348407222E7;79;20
458;3.661299348407222E7;79;20
459;3.636302526423889E7;79;19
460;3.636301920163889E7;79;19
461;3.636301920163889E7;79;19
462;3.636301920163889E7;79;19
463;3.636301920163889E7;79;19
464;3.636301920163889E7;79;19
465;3.636301920163889E7;79;19
466;3.636301920163889E7;79;19
467;3.636301920163889E7;79;19
468;3.636301920163889E7;79;19
469;3.636301920163889E7;79;19
470;3.636301920163889E7;79;19
471;3.636301555411111E7;79;19
472;3.636301555411111E7;79;19
473;3.636301555411111E7;79;19
474;3.636301555411111E7;79;19
475;3.636301555411111E7;79;19
476;3.636301555411111E7;79;19
477;3.636301555411111E7;79;19
478;3.636301555411111E7;79;19
479;3.636301555411111E7;79;19
480;3.636301555411111E7;79;19
481;3.611301536582778E7;79;18
482;3.611300530983889E7;79;18
483;3.611300530983889E7;79;18
484;3.586301227560556E7;79;17
485;3.586301227560556E7;79;17
486;3.586301227560556E7;79;17
487;3.586301227560556E7;79;17
488;3.586301227560556E7;79;17
489;3.586301227560556E7;79;17
490;3.586301227560556E7;79;17
491;3.586301227560556E7;79;17
492;3.586301227560556E7;79;17
493;3.586301227560556E7;79;17
494;3.586301227560556E7;79;17
495;3.586301227560556E7;79;17
496;3.586301227560556E7;79;17
497;3.586301227560556E7;79;17
498;3.5613055178566664E7;79;16
499;3.5613053534044445E7;79;16
500;3.561305275367778E7;79;16
501;3.561305207168889E7;79;16
502;3.561305206538889E7;79;16
503;3.5613051179688886E7;79;16
504;3.5613051179688886E7;79;16
505;3.561304997843889E7;79;16
506;3.561304268462778E7;79;16
507;3.561303298573889E7;79;16
508;3.561302492701111E7;79;16
509;3.561302492701111E7;79;16
510;3.561302492701111E7;79;16
511;3.561302492701111E7;79;16
512;3.561302492701111E7;79;16
513;3.561302492701111E7;79;16
514;3.561302492701111E7;79;16
515;3.561302492701111E7;79;16
516;3.561302492701111E7;79;16
517;3.561302492701111E7;79;16
518;3.561302492701111E7;79;16
519;3.561302492701111E7;79;16
520;3.561302492701111E7;79;16
521;3.561302492701111E7;79;16
522;3.561302492701111E7;79;16
523;3.561302300752222E7;79;16
524;3.561301730450556E7;79;16
525;3.561301598233889E7;79;16
526;3.561301598233889E7;79;16
527;3.561301598233889E7;79;16
528;3.561301598233889E7;79;16
529;3.561301598233889E7;79;16
530;3.561301598233889E7;79;16
531;3.5613012610644445E7;79;16
532;3.561300947331111E7;79;16
533;3.561300692250556E7;79;16
534;3.56130021081E7;79;16
535;3.56130021081E7;79;16
536;3.56130021081E7;79;16
537;3.56130021081E7;79;16
538;3.56130021081E7;79;16
539;3.56130021081E7;79;16
540;3.56130021081E7;79;16
541;3.56130021081E7;79;16
542;3.56130021081E7;79;16
543;3.56130021081E7;79;16
544;3.56130021081E7;79;16
545;3.56130021081E7;79;16
546;3.56130021081E7;79;16
547;3.56130021081E7;79;16
548;3.56130021081E7;79;16
549;3.56130021081E7;79;16
550;3.56130021081E7;79;16
551;3.56130021081E7;79;16
552;3.56130021081E7;79;16
553;3.56130021081E7;79;16
554;3.56130021081E7;79;16
555;3.56130021081E7;79;16
556;3.56130021081E7;79;16
557;3.56130021081E7;79;16
