*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
270;3.686291308363333E7
271;3.6862912394822225E7
272;3.6862912394822225E7
273;3.6862912394822225E7
274;3.6862912394822225E7
275;3.6862912394822225E7
276;3.6862912394822225E7
277;3.6862912394822225E7
278;3.6862912394822225E7
279;3.661291431397222E7
280;3.661291431397222E7
281;3.661291431397222E7
282;3.661291431397222E7
283;3.661291431397222E7
284;3.661291431397222E7
285;3.661291431397222E7
286;3.661291431397222E7
287;3.661291431397222E7
288;3.661291431397222E7
289;3.661291431397222E7
290;3.661291431397222E7
291;3.661291431397222E7
292;3.661291431397222E7
293;3.661291431397222E7
294;3.661291431397222E7
295;3.661291431397222E7
296;3.661291431397222E7
297;3.661291431397222E7
298;3.661291431397222E7
299;3.661291431397222E7
300;3.661291431397222E7
301;3.661291431397222E7
302;3.661291431397222E7
303;3.661291431397222E7
304;3.661291431397222E7
305;3.661291431397222E7
306;3.661291431397222E7
307;3.661291431397222E7
308;3.661291431397222E7
309;3.661291431397222E7
310;3.661291431397222E7
311;3.661291431397222E7
312;3.661291431397222E7
313;3.661291431397222E7
314;3.661291431397222E7
315;3.661291431397222E7
316;3.661291431397222E7
317;3.661291431397222E7
318;3.661291431397222E7
319;3.661291431397222E7
320;3.661291431397222E7
321;3.661291431397222E7
322;3.661291431397222E7
323;3.661291431397222E7
324;3.661291431397222E7
325;3.661291431397222E7
326;3.661291431397222E7
327;3.661291431397222E7
328;3.661291431397222E7
329;3.661291431397222E7
330;3.661291431397222E7
331;3.661291431397222E7
332;3.661291431397222E7
333;3.661291431397222E7
334;3.661291431397222E7
335;3.661291431397222E7
336;3.661291431397222E7
337;3.661291431397222E7
338;3.661291431397222E7
339;3.661291431397222E7
340;3.661291431397222E7
341;3.661291431397222E7
342;3.661291431397222E7
343;3.661291431397222E7
344;3.661291431397222E7
345;3.661291431397222E7
346;3.661291431397222E7
347;3.661291431397222E7
348;3.661291431397222E7
349;3.661291431397222E7
350;3.661291431397222E7
351;3.661291431397222E7
352;3.661291431397222E7
353;3.661291431397222E7
354;3.661291431397222E7
355;3.661291431397222E7
356;3.661291431397222E7
357;3.661291431397222E7
358;3.661291431397222E7
359;3.661291431397222E7
360;3.661291431397222E7
361;3.661291431397222E7
362;3.661291431397222E7
363;3.661291431397222E7
364;3.661291431397222E7
365;3.661291431397222E7
366;3.661291431397222E7
367;3.661291431397222E7
368;3.661291431397222E7
369;3.661291431397222E7
370;3.661291431397222E7
371;3.661291431397222E7
372;3.661291431397222E7
373;3.661291431397222E7
374;3.661291431397222E7
375;3.661291431397222E7
376;3.661291431397222E7
377;3.661291431397222E7
378;3.661291431397222E7
379;3.661291431397222E7
380;3.661291431397222E7
381;3.661291431397222E7
382;3.661291431397222E7
383;3.661291431397222E7
384;3.661291431397222E7
