*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
0;4.2112355987399995E7
1;4.2112355987399995E7
2;4.2112355987399995E7
3;4.2112355987399995E7
4;4.2112355987399995E7
5;4.2112355987399995E7
6;4.2112355987399995E7
7;4.1612366579622224E7
8;4.1362382513783336E7
9;4.1362382513783336E7
10;4.111239150627222E7
11;4.086239421214445E7
12;4.086239421214445E7
13;4.086239421214445E7
14;4.086239421214445E7
15;4.086239421214445E7
16;4.086239421214445E7
17;4.086239421214445E7
18;4.086239421214445E7
19;4.086239421214445E7
20;4.086239421214445E7
21;4.086239421214445E7
22;4.086239421214445E7
23;4.086239421214445E7
24;4.086239421214445E7
25;4.0362441872488886E7
26;4.0362441872488886E7
27;4.0362441872488886E7
28;4.0362441872488886E7
29;4.0362441872488886E7
30;4.0362441872488886E7
31;4.0362441872488886E7
32;4.011246601750556E7
33;4.011246257929444E7
34;4.011246257929444E7
35;4.011246257929444E7
36;4.011246257929444E7
37;4.011246257929444E7
38;4.011246257929444E7
39;4.011246257929444E7
40;4.011246257929444E7
41;3.986249160311111E7
42;3.986249160311111E7
43;3.986249160311111E7
44;3.986249160311111E7
45;3.986249160311111E7
46;3.986249160311111E7
47;3.986249160311111E7
48;3.986249160311111E7
49;3.986249160311111E7
50;3.961253242452222E7
51;3.9612531512933336E7
52;3.9612531512933336E7
53;3.9612531512933336E7
54;3.9612531512933336E7
55;3.9612531512933336E7
56;3.9612531512933336E7
57;3.9612531512933336E7
58;3.9612531512933336E7
59;3.936256352607223E7
60;3.936256352607223E7
61;3.9112576387216665E7
62;3.9112575681433335E7
63;3.911257103592222E7
64;3.911257103592222E7
65;3.911257103592222E7
66;3.911257103592222E7
67;3.911257103592222E7
68;3.911257103592222E7
69;3.911257103592222E7
70;3.911257103592222E7
71;3.911257103592222E7
72;3.911257103592222E7
73;3.911257103592222E7
74;3.911257103592222E7
75;3.911257103592222E7
76;3.911257103592222E7
77;3.911257103592222E7
78;3.911257103592222E7
79;3.911257103592222E7
80;3.911257103592222E7
81;3.911257103592222E7
82;3.886261079455E7
83;3.886261077475556E7
84;3.886260783808889E7
85;3.886260783808889E7
86;3.861261226109444E7
87;3.861261226109444E7
88;3.861261226109444E7
89;3.861261226109444E7
90;3.861261226109444E7
91;3.861261226109444E7
92;3.861261226109444E7
93;3.861261226109444E7
94;3.861261226109444E7
95;3.861261226109444E7
96;3.836264427280556E7
97;3.836264427280556E7
98;3.836264393786111E7
99;3.83626421154E7
100;3.836264160533333E7
101;3.836263509258333E7
102;3.836263509258333E7
103;3.836263509258333E7
104;3.836263509258333E7
105;3.836263509258333E7
106;3.836263509258333E7
107;3.836263509258333E7
108;3.836263509258333E7
109;3.836263509258333E7
110;3.811268467531111E7
111;3.811268042718333E7
112;3.811268042718333E7
113;3.811268042718333E7
114;3.811268042718333E7
115;3.811268042718333E7
116;3.811268042718333E7
117;3.811268042718333E7
118;3.811268042718333E7
119;3.811268042718333E7
120;3.811268042718333E7
121;3.811268042718333E7
122;3.786271327233333E7
123;3.786271135646111E7
124;3.786271135646111E7
125;3.786271135646111E7
126;3.786271135646111E7
127;3.786271135646111E7
128;3.786271135646111E7
129;3.786271135646111E7
130;3.786271135646111E7
131;3.786271135646111E7
132;3.786271135646111E7
133;3.761273006383889E7
134;3.7612729711155556E7
135;3.761272782528333E7
136;3.761272782528333E7
