*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
445;3.661304691077778E7
446;3.661304691077778E7
447;3.661304691077778E7
448;3.661304691077778E7
449;3.661304691077778E7
450;3.661304691077778E7
451;3.661304691077778E7
452;3.661304691077778E7
453;3.661304691077778E7
454;3.661304691077778E7
455;3.661304691077778E7
456;3.661304691077778E7
457;3.661304691077778E7
458;3.661304691077778E7
459;3.661304691077778E7
460;3.661304691077778E7
461;3.661304691077778E7
462;3.6613044558411114E7
463;3.6613036839711115E7
464;3.6613031136305556E7
465;3.6613017929633334E7
466;3.661300984604444E7
467;3.661300984604444E7
468;3.661300961366111E7
469;3.661300300847222E7
470;3.661300293857222E7
471;3.661300293857222E7
472;3.661298854934444E7
473;3.661298854934444E7
474;3.661298854934444E7
475;3.661298507252222E7
476;3.661297766267222E7
477;3.6612969524233334E7
478;3.6612969524233334E7
479;3.6612969524233334E7
480;3.6612969524233334E7
481;3.6612969524233334E7
482;3.6612969524233334E7
483;3.6612969524233334E7
484;3.6612969524233334E7
485;3.6612969524233334E7
486;3.6612969524233334E7
487;3.6612969524233334E7
488;3.6612969524233334E7
489;3.636298223087222E7
490;3.636297959708889E7
491;3.63629778482E7
492;3.6362963521638885E7
493;3.6362963521638885E7
494;3.6362963521638885E7
495;3.6362963521638885E7
496;3.6362963521638885E7
497;3.6362963521638885E7
498;3.6362963521638885E7
499;3.6362963521638885E7
500;3.6362963521638885E7
501;3.6362963521638885E7
502;3.6362963521638885E7
503;3.6362963521638885E7
504;3.6362963521638885E7
505;3.6362963521638885E7
506;3.6362963521638885E7
507;3.6362963521638885E7
508;3.6362963521638885E7
509;3.6362963521638885E7
510;3.6362963521638885E7
511;3.6362963521638885E7
512;3.6362963521638885E7
513;3.6362963521638885E7
514;3.6362963521638885E7
515;3.6362963521638885E7
516;3.6362963521638885E7
517;3.6362963521638885E7
518;3.6362963521638885E7
519;3.6362963521638885E7
520;3.6362963521638885E7
521;3.6362963521638885E7
522;3.6362963521638885E7
523;3.6362963521638885E7
524;3.6362963521638885E7
525;3.6362963521638885E7
526;3.611304753232778E7
527;3.611304572805555E7
528;3.611304572805555E7
529;3.611304572805555E7
530;3.611304567578889E7
531;3.611304567578889E7
532;3.611304001697222E7
533;3.611304001697222E7
534;3.611304001697222E7
535;3.611304001697222E7
536;3.611304001697222E7
537;3.611304001697222E7
538;3.611304001697222E7
539;3.611304001697222E7
540;3.611304001697222E7
541;3.611304001697222E7
542;3.611304001697222E7
543;3.611304001697222E7
544;3.611304001697222E7
545;3.611304001697222E7
546;3.586305006479444E7
547;3.586305006479444E7
548;3.586305006479444E7
549;3.586305006479444E7
550;3.586305006479444E7
551;3.586305006479444E7
552;3.586305006479444E7
553;3.586305006479444E7
554;3.586305006479444E7
555;3.586305006479444E7
556;3.586305006479444E7
557;3.586305006479444E7
558;3.586305006479444E7
559;3.586305006479444E7
560;3.586305006479444E7
561;3.586305006479444E7
562;3.586305006479444E7
563;3.586305006479444E7
564;3.586305006479444E7
565;3.586305006479444E7
566;3.586305006479444E7
567;3.586305006479444E7
568;3.586305006479444E7
569;3.586305006479444E7
570;3.586305006479444E7
571;3.586305006479444E7
572;3.586305006479444E7
573;3.586305006479444E7
574;3.586305006479444E7
575;3.586305006479444E7
576;3.586305006479444E7
577;3.586305006479444E7
578;3.586305006479444E7
579;3.586305006479444E7
580;3.586305006479444E7
581;3.586305006479444E7
582;3.586305006479444E7
583;3.586305006479444E7
584;3.586305006479444E7
585;3.586305006479444E7
586;3.586305006479444E7
587;3.586305006479444E7
588;3.586305006479444E7
589;3.586305006479444E7
590;3.586305006479444E7
591;3.586305006479444E7
592;3.586305006479444E7
593;3.586305006479444E7
594;3.586305006479444E7
595;3.586305006479444E7
596;3.586305006479444E7
597;3.586305006479444E7
598;3.586305006479444E7
599;3.586305006479444E7
600;3.586305006479444E7
601;3.586305006479444E7
602;3.586305006479444E7
603;3.586305006479444E7
604;3.586305006479444E7
605;3.586305006479444E7
606;3.586305006479444E7
607;3.586305006479444E7
608;3.586305006479444E7
609;3.586305006479444E7
610;3.586305006479444E7
611;3.586305006479444E7
612;3.586305006479444E7
613;3.586305006479444E7
614;3.586305006479444E7
615;3.586305006479444E7
616;3.586305006479444E7
617;3.586305006479444E7
618;3.586305006479444E7
619;3.586305006479444E7
620;3.586305006479444E7
621;3.586305006479444E7
622;3.586305006479444E7
623;3.586305006479444E7
624;3.586305006479444E7
625;3.586305006479444E7
626;3.586305006479444E7
627;3.586305006479444E7
628;3.586305006479444E7
629;3.586305006479444E7
630;3.586305006479444E7
631;3.586305006479444E7
