*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
447;3.711295937267778E7;79;22
448;3.711295937267778E7;79;22
449;3.711295937267778E7;79;22
450;3.711295937267778E7;79;22
451;3.711295937267778E7;79;22
452;3.711295937267778E7;79;22
453;3.711295937267778E7;79;22
454;3.711295937267778E7;79;22
455;3.711295937267778E7;79;22
456;3.711295937267778E7;79;22
457;3.711295937267778E7;79;22
458;3.711295937267778E7;79;22
459;3.711295937267778E7;79;22
460;3.711295937267778E7;79;22
461;3.711295937267778E7;79;22
462;3.711295937267778E7;79;22
463;3.711295937267778E7;79;22
464;3.711295937267778E7;79;22
465;3.711295937267778E7;79;22
466;3.711295937267778E7;79;22
467;3.711295937267778E7;79;22
468;3.711295937267778E7;79;22
469;3.711295937267778E7;79;22
470;3.711295937267778E7;79;22
471;3.711295937267778E7;79;22
472;3.711295937267778E7;79;22
473;3.711295937267778E7;79;22
474;3.711295937267778E7;79;22
475;3.711295937267778E7;79;22
476;3.711295937267778E7;79;22
477;3.711295937267778E7;79;22
478;3.711295937267778E7;79;22
479;3.711295937267778E7;79;22
480;3.711295937267778E7;79;22
481;3.711295937267778E7;79;22
482;3.711295937267778E7;79;22
483;3.711295937267778E7;79;22
484;3.711295937267778E7;79;22
485;3.711295937267778E7;79;22
486;3.711295937267778E7;79;22
487;3.711295937267778E7;79;22
488;3.711295937267778E7;79;22
489;3.711295937267778E7;79;22
490;3.711295937267778E7;79;22
491;3.711295937267778E7;79;22
492;3.711295937267778E7;79;22
493;3.711295937267778E7;79;22
494;3.711295937267778E7;79;22
495;3.711295937267778E7;79;22
496;3.711295937267778E7;79;22
497;3.711295937267778E7;79;22
498;3.711295937267778E7;79;22
499;3.711295937267778E7;79;22
500;3.711295937267778E7;79;22
501;3.711295937267778E7;79;22
502;3.711295937267778E7;79;22
503;3.711295937267778E7;79;22
504;3.711295937267778E7;79;22
505;3.711295937267778E7;79;22
506;3.711295937267778E7;79;22
507;3.686309611288889E7;79;21
508;3.686309611288889E7;79;21
509;3.686309611288889E7;79;21
510;3.68630929736E7;79;21
511;3.686308365861666E7;79;21
512;3.686307225384444E7;79;21
513;3.686307225384444E7;79;21
514;3.686307225384444E7;79;21
515;3.686307225384444E7;79;21
516;3.686307225384444E7;79;21
517;3.686307225384444E7;79;21
518;3.686307225384444E7;79;21
519;3.686307225384444E7;79;21
520;3.686307225384444E7;79;21
521;3.686307225384444E7;79;21
522;3.686307225384444E7;79;21
523;3.686307225384444E7;79;21
524;3.686307225384444E7;79;21
525;3.686307225384444E7;79;21
526;3.686307225384444E7;79;21
527;3.686307225384444E7;79;21
528;3.686307225384444E7;79;21
529;3.686307225384444E7;79;21
530;3.686307225384444E7;79;21
531;3.686307225384444E7;79;21
532;3.6463067819416665E7;78;21
533;3.646306385992222E7;78;21
534;3.646306385992222E7;78;21
535;3.646306385992222E7;78;21
536;3.646306385992222E7;78;21
537;3.646306385992222E7;78;21
538;3.646305982806666E7;78;21
539;3.64630512114E7;78;21
540;3.646304472747222E7;78;21
541;3.646304100207222E7;78;21
542;3.6463038640661106E7;78;21
543;3.646303001600555E7;78;21
544;3.646303001600555E7;78;21
545;3.646303001600555E7;78;21
546;3.646303001600555E7;78;21
547;3.6463025182127774E7;78;21
548;3.6463025182127774E7;78;21
549;3.6213030344005555E7;78;20
550;3.6213030344005555E7;78;20
551;3.6213030344005555E7;78;20
552;3.6213030344005555E7;78;20
553;3.6213030344005555E7;78;20
554;3.6213030344005555E7;78;20
555;3.6213030344005555E7;78;20
556;3.6213030344005555E7;78;20
557;3.6213030344005555E7;78;20
558;3.6213030344005555E7;78;20
559;3.6213030344005555E7;78;20
560;3.6213030344005555E7;78;20
561;3.6213030344005555E7;78;20
562;3.6213030344005555E7;78;20
563;3.6213030344005555E7;78;20
564;3.6213030344005555E7;78;20
565;3.6213030344005555E7;78;20
566;3.6213030344005555E7;78;20
